czas;temp;moc
541;24.523319;1800.000000
542;24.530052;1800.000000
543;24.536779;1800.000000
544;24.543503;1800.000000
545;24.550220;1800.000000
546;24.556932;1800.000000
547;24.563641;1800.000000
548;24.570343;1800.000000
549;24.577040;1800.000000
550;24.583733;1800.000000
551;24.590420;1800.000000
552;24.597101;1800.000000
553;24.603777;1800.000000
554;24.610449;1800.000000
555;24.617115;1800.000000
556;24.623775;1800.000000
557;24.630432;1800.000000
558;24.637083;1800.000000
559;24.643728;1800.000000
560;24.650370;1800.000000
561;24.657005;1800.000000
562;24.663635;1800.000000
563;24.670261;1800.000000
564;24.676882;1800.000000
565;24.683498;1800.000000
566;24.690109;1800.000000
567;24.696714;1800.000000
568;24.703316;1800.000000
569;24.709911;1800.000000
570;24.716501;1800.000000
571;24.723087;1800.000000
572;24.729668;1800.000000
573;24.736242;1800.000000
574;24.742813;1800.000000
575;24.749378;1800.000000
576;24.755938;1800.000000
577;24.762493;1800.000000
578;24.769043;1800.000000
579;24.775589;1800.000000
580;24.782129;1800.000000
581;24.788664;1800.000000
582;24.795195;1800.000000
583;24.801720;1800.000000
584;24.808239;1800.000000
585;24.814754;1800.000000
586;24.821264;1800.000000
587;24.827770;1800.000000
588;24.834270;1800.000000
589;24.840765;1800.000000
590;24.847256;1800.000000
591;24.853741;1800.000000
592;24.860222;1800.000000
593;24.866697;1800.000000
594;24.873167;1800.000000
595;24.879633;1800.000000
596;24.886093;1800.000000
597;24.892550;1800.000000
598;24.899000;1800.000000
599;24.905447;1800.000000
600;24.911888;1800.000000
601;24.918324;1800.000000
602;24.924755;1800.000000
603;24.931181;1800.000000
604;24.937603;1800.000000
605;24.944019;1800.000000
606;24.950430;1800.000000
607;24.956837;1800.000000
608;24.963238;1800.000000
609;24.969635;1800.000000
610;24.976027;1800.000000
611;24.982414;1800.000000
612;24.988796;1800.000000
613;24.995174;1800.000000
614;25.001547;1800.000000
615;25.007914;1800.000000
616;25.014277;1800.000000
617;25.020634;1800.000000
618;25.026987;1800.000000
619;25.033335;1800.000000
620;25.039679;1800.000000
621;25.046017;1800.000000
622;25.052351;1800.000000
623;25.058680;1800.000000
624;25.065004;1800.000000
625;25.071323;1800.000000
626;25.077637;1800.000000
627;25.083946;1800.000000
628;25.090250;1800.000000
629;25.096550;1800.000000
630;25.102844;1800.000000
631;25.109135;1800.000000
632;25.115419;1800.000000
633;25.121700;1800.000000
634;25.127975;1800.000000
635;25.134247;1800.000000
636;25.140512;1800.000000
637;25.146774;1800.000000
638;25.153030;1800.000000
639;25.159283;1800.000000
640;25.165529;1800.000000
641;25.171772;1800.000000
642;25.178009;1800.000000
643;25.184242;1800.000000
644;25.190470;1800.000000
645;25.196693;1800.000000
646;25.202911;1800.000000
647;25.209126;1800.000000
648;25.215334;1800.000000
649;25.221539;1800.000000
650;25.227737;1800.000000
651;25.233932;1800.000000
652;25.240122;1800.000000
653;25.246307;1800.000000
654;25.252487;1800.000000
655;25.258663;1800.000000
656;25.264833;1800.000000
657;25.271000;1800.000000
658;25.277161;1800.000000
659;25.283318;1800.000000
660;25.289471;1800.000000
661;25.295618;1800.000000
